Wavelength,Cm, Ch, Bm,Eumelanin,Pheomelanin,Baseline,Epidermis,ScatteringEpi,ScatteringDerm,Dermis,Reflectance
650,0.002,0.003,0.01,28.34930771212457,12.620005780844819,0.027125981545132852,0.052660234659289235,1.365522742290122,0.682761371145061,0.0020851338108014927,0.8401201733214172
660,0.002,0.003,0.01,26.944034765724194,11.737194571071123,0.026660591541872836,0.05041912204425174,1.2920630979668408,0.6460315489834204,0.0018729918293017417,0.846647855078581
670,0.002,0.003,0.01,25.628007507825494,10.928050293523707,0.026274654701280434,0.048405048441587925,1.223939305907184,0.611969652953592,0.0016888374922115299,0.8450110033243073
680,0.002,0.003,0.01,24.394350316093952,10.185460351239715,0.02595460647531279,0.046590239022232825,1.1606913283256337,0.5803456641628169,0.0014883802279676605,0.8444005454138361
690,0.002,0.003,0.01,23.236807670989165,9.503089443808602,0.02568919810748813,0.04495078446106833,1.101904771568543,0.5509523857842715,0.001294086391539497,0.847127260506421
700,0.002,0.003,0.01,22.14968030664257,8.875284999387258,0.0254691012720866,0.04346605735105216,1.0472057821044447,0.5236028910522224,0.001159178081904811,0.8469259351128526
710,0.002,0.003,0.01,21.127768729112393,8.296995250458005,0.02528658021086004,0.042118221246190995,0.9962565757559048,0.4981282878779524,0.0011668821614106823,0.8472616205771514
720,0.002,0.003,0.01,20.16632316290422,7.7636981147969815,0.025135219843817527,0.040891817159490765,0.9487515140674609,0.47437575703373047,0.0011574294425528583,0.8473958187523893
730,0.002,0.003,0.01,19.26099911739236,7.271339331415421,0.025009700297978346,0.039773414881305244,0.9044136544100768,0.4522068272050384,0.0011555540135912532,0.8459267312610295
740,0.002,0.003,0.01,18.407817875825288,6.816278541125897,0.024905609929439205,0.0387513185909379,0.8629917111102459,0.43149585555512293,0.0011439926792989525,0.8409610065213208
750,0.002,0.003,0.01,17.603131304134504,6.3952422015201575,0.024819290267029847,0.03781531798442217,0.8242573739040902,0.4121286869520451,0.0011287344971886862,0.8430155875319849
760,0.002,0.003,0.01,16.84359045742784,6.005282393538233,0.02474770742778124,0.03695647759556466,0.7880029376344289,0.39400146881721443,0.0011060203929164935,0.8387183359730329
770,0.002,0.003,0.01,16.126117531023013,5.6437407171630865,0.024688345484837216,0.03616695819632696,0.754039203562606,0.377019601781303,0.0010983428413451483,0.8333388636494069
780,0.002,0.003,0.01,15.447880761984283,5.308216591742097,0.024639118040004362,0.035439865168363394,0.722193618147089,0.3610968090735445,0.001091445602057653,0.826445876006491
380,0.002,0.02,0.01,169.3809478396403,161.5942539940015,0.45161339628080815,0.7726995711643199,10.70062444996002,5.35031222498001,3.271751622567104,0.28612781519710073
390,0.002,0.02,0.01,155.3455418066616,142.83712970835902,0.3786778900801753,0.6627089282884585,9.65854442259583,4.829272211297915,3.432542086645572,0.2843081304461519
400,0.002,0.02,0.01,142.7855189861344,126.65228778807402,0.31819421266359565,0.5702304818003869,8.741823504652602,4.370911752326301,3.602166606568207,0.2492765021669616
410,0.002,0.02,0.01,131.51451650226562,112.63534107303022,0.2680365401608564,0.4923446231146973,7.932784648554808,3.966392324277404,4.918928516187154,0.24997326195062636
420,0.002,0.02,0.01,121.37347842917981,100.45322139078023,0.22644197748959877,0.42663461552447923,7.216592000386382,3.608296000193191,5.031758262758796,0.25868109519697446
430,0.002,0.02,0.01,112.22612779678802,89.83029665524481,0.19194859776352213,0.371097364708025,6.58074077024114,3.29037038512057,2.986237192516165,0.25936136030768814
440,0.002,0.02,0.01,103.9552728988143,80.53743328363643,0.16334405984997707,0.32407056291030356,6.014647871172193,3.0073239355860966,3.0884115435730592,0.24666481697416165
450,0.002,0.02,0.01,96.45977946632703,72.38332974786923,0.1396229981347961,0.2841730716342297,5.509321687090168,2.754660843545084,1.0436216107634422,0.2653780051119394
